nombre,lat,lon,nodo_red,centro_id,direccion_completa,especialidades_texto,perfiles_atencion,dist_match_m
Centro de Especialidades Avenida de Portugal,40.41091896835909,-3.737929441194463,305399735,CS11578,CALLE de Alfonso Cea 10 BAJO - LOCAL Madrid 28011,Fisioterapia,rehabilitacion,31.8
Sanatorio Psiquiátrico Esquerdo,40.38164067208423,-3.7595795069067632,308303871,CH0063,AVDA de los Poblados 70 Madrid 28044,Psicología clínica | Psiquiatría | Farmacia | Atención sanitaria a drogodependientes | Terapia ocupacional | Obtención de muestras | Enfermería | Medicina general/de familia | Otras unidades asistenciales,salud_mental | rehabilitacion,42.5
Hospital Universitario HM Madrid,40.43130421454642,-3.706677658930101,2915209114,CH0031,PLAZA del Conde del Valle de Súchil 16 Madrid 28015,Oncología | Angiología y Cirugía Vascular | Neurofisiología | Microbiología y Parasitología | Hospital de día | Alergología | Farmacia | Tratamiento del dolor | Medicina interna | Hematología clínica | Obtención de muestras | Cardiología | Rehabilitación | Medicina intensiva | Bioquímica clínica | Farmacología clínica | Psiquiatría | Hemodinámica | Anestesia y Reanimación | Fisioterapia | Cirugía estética | Cirugía maxilofacial | Neumología | Servicio de transfusión | Neurocirugía | Endocrinología | Extracción de sangre para donación | Dermatología | Otras unidades asistenciales | Cirugía plástica y reparadora | Cirugía general y digestivo | Ginecología | Neurología | Implantación de tejidos | Anatomía patológica | Otorrinolaringología | Oftalmología | Odontología/Estomatología | Reumatología | Medicina del trabajo | Nefrología | Cirugía ortopédica y Traumatología | Urología | Medicina preventiva | Aparato digestivo | Laboratorio Clínico | Atención Continuada en Atención Primaria | Cirugía torácica | Radiodiagnóstico,cardiovascular | neurologia | trauma_ortopedia | obstetricia_neonatal | salud_mental | diagnostico | urgencias_criticas | rehabilitacion | cirugia | oncologia,9.9
Hospital Universitario HM Sanchinarro,40.490308088222285,-3.666847917298981,2051067757,CH0093,CALLE de Oña 10 Madrid 28050,Obstetricia | Obtención de tejidos | Rehabilitación | Medicina intensiva | Enfermería | Odontología/Estomatología | Medicina general/de familia | Neurocirugía | Cardiología | Cirugía menor ambulatoria | Oftalmología | Ginecología | Extracción de órganos | Obtención de muestras | Reumatología | Medicina del trabajo | Neurofisiología | Neurología | Implantación de tejidos | Radiodiagnóstico | Medicina nuclear | Atención Continuada en Atención Primaria | Medicina preventiva | Aparato digestivo | Farmacia | Inmunología | Alergología | Cirugía maxilofacial | Angiología y Cirugía Vascular | Neumología | Laboratorio de hematología | Psicología clínica | Urología | Cirugía general y digestivo | Medicina interna | Farmacología clínica | Extracción de sangre para donación | Nutrición y Dietética | Bioquímica clínica | Cirugía mayor ambulatoria | Hemodinámica | Anestesia y Reanimación | Cirugía pediátrica | Pediatría | Banco de tejidos | Otras unidades asistenciales | Dermatología | Hematología clínica | Microbiología y Parasitología | Psiquiatría | Genética | Cirugía ortopédica y Traumatología | Tratamiento del dolor | Radioterapia | Laboratorio Clínico | Fisioterapia | Vacunación | Medicina estética | Cirugía plástica y reparadora | Oncología | Endocrinología | Anatomía patológica | Hospital de día | Otorrinolaringología | Cirugía torácica | Nefrología | Servicio de transfusión | Cirugía estética,cardiovascular | neurologia | trauma_ortopedia | obstetricia_neonatal | pediatria | salud_mental | diagnostico | urgencias_criticas | rehabilitacion | cirugia | oncologia,118.9
Sede Cruz Roja Española,40.44753622291712,-3.709269285651648,32630168,CS13040,CALLE de Juan Montalvo 3 Madrid 28053,Extracción de sangre para donación,,51.0
Hospital Universitario San Rafael,40.45123086978334,-3.6798113281741416,1016578225,CS15582,AVDA de Concha Espina 32 EDIFICIO A Madrid 28016,Odontología/Estomatología | Cirugía maxilofacial,cirugia,21.8
Instituto Galene de Psicoterapia,40.45941053707528,-3.6536941805598144,1489535562,CS19235,CALLE de Puerto de Santa María 126 Madrid 28043,Fisioterapia,rehabilitacion,98.5
Hospital Beata María Ana,40.41809642745085,-3.668101913853839,150556440,CH0024,CALLE del Doctor Esquerdo 83 Madrid 28007,Otorrinolaringología | Hematología clínica | Psicología clínica | Vacunación | Oncología | Medicina general/de familia | Podología | Enfermería | Medicina interna | Endocrinología | Radioterapia | Farmacia | Cuidados paliativos | Lesionados medulares | Oftalmología | Tratamiento del dolor | Geriatría | Implantación de tejidos | Inmunología | Bioquímica clínica | Cardiología | Dermatología | Logopedia | Cirugía maxilofacial | Angiología y Cirugía Vascular | Reumatología | Atención sanitaria domiciliaria | Terapia ocupacional | Aparato digestivo | Psiquiatría | Atención Continuada en Atención Primaria | Hospital de día | Neurología | Genética | Microbiología y Parasitología | Anestesia y Reanimación | Otras unidades asistenciales | Laboratorio de hematología | Fisioterapia | Medicina intensiva | Pediatría | Urología | Neurocirugía | Cirugía plástica y reparadora | Nutrición y Dietética | Radiodiagnóstico | Obtención de muestras | Cirugía ortopédica y Traumatología | Odontología/Estomatología | Cirugía general y digestivo | Neurofisiología | Cirugía menor ambulatoria | Cirugía mayor ambulatoria | Alergología | Cirugía torácica | Neumología | Ginecología | Laboratorio Clínico | Rehabilitación | Litotricia renal | Medicina del trabajo | Servicio de transfusión,cardiovascular | neurologia | trauma_ortopedia | obstetricia_neonatal | pediatria | salud_mental | diagnostico | urgencias_criticas | rehabilitacion | cirugia | oncologia,30.1
Hospital La Luz,40.44414165423733,-3.7137334542757343,27508204,CH0008,CALLE del Maestro Ángel Llorca 8 Madrid 28003,Podología | Radiodiagnóstico | Neumología | Rehabilitación | Ginecología | Neurofisiología | Medicina general/de familia | Laboratorio Clínico | Psicología clínica | Litotricia renal | Otorrinolaringología | Cirugía maxilofacial | Nefrología | Endocrinología | Dermatología | Otras unidades asistenciales | Medicina preventiva | Oncología | Servicio de transfusión | Alergología | Anestesia y Reanimación | Reumatología | Cirugía mayor ambulatoria | Urología | Cirugía general y digestivo | Cirugía cardiaca | Implantación de tejidos | Medicina nuclear | Fisioterapia | Medicina intensiva | Enfermería | Radioterapia | Psiquiatría | Odontología/Estomatología | Medicina interna | Laboratorio de hematología | Tratamiento del dolor | Anatomía patológica | Genética | Hemodinámica | Neurología | Aparato digestivo | Angiología y Cirugía Vascular | Obtención de muestras | Hospital de día | Cirugía ortopédica y Traumatología | Neurocirugía | Cirugía plástica y reparadora | Obstetricia | Farmacia | Cardiología | Atención Continuada en Atención Primaria | Cirugía menor ambulatoria | Cirugía torácica | Geriatría | Hematología clínica | Oftalmología | Cirugía estética,cardiovascular | neurologia | trauma_ortopedia | obstetricia_neonatal | salud_mental | diagnostico | urgencias_criticas | rehabilitacion | cirugia | oncologia,4.4
Hospital General Universitario Gregorio Marañón.,40.41938806920264,-3.671340502263531,26784086,CS15840,CALLE del Doctor Casteló 49 PLANTA BAJA Madrid 28009,Rehabilitación | Medicina general/de familia | Otras unidades asistenciales,rehabilitacion,99.0
